Name,AltName,OrigName,State,County1,County2,County3,OrigCounty,Established,Discontinued,Continuous,StampIndex,ID,Coordinates,Duration,GNIS.Match,GNIS.Name,GNIS.County,GNIS.State,GNIS.FEATURE_ID,GNIS.Feature.Class,GNIS.OrigName,GNIS.OrigCounty,GNIS.Latitude,GNIS.Longitude,GNIS.ELEV_IN_M,GNIS.MatchScore,Latitude,Longitude
ABBIEVILLE,,ABBIEVILLE,TX,DENTON,,,Denton,1876,1876,TRUE,9,123830,FALSE,0,FALSE,,,,,,,,,,,,,
ABBOTT,,ABBOTT,TX,HILL,,,Hill,1882,,TRUE,0,123833,TRUE,,TRUE,ABBOTT,HILL,TX,2732277,Post Office,Abbott Post Office,Hill,31.88525,-97.0719,218,1,31.88525,-97.0719
ABE,,ABE,TX,HOUSTON,,,Houston,1887,1888,TRUE,8,123842,FALSE,1,FALSE,,,,,,,,,,,,,
ABERDEEN,,ABERDEEN,TX,COLLINGSWORTH,,,Collingsworth,1889,1942,TRUE,2,123847,TRUE,53,TRUE,ABERDEEN,COLLINGSWORTH,TX,1379308,Populated Place,Aberdeen,Collingsworth,35.03783,-100.1493,632,1,35.03783,-100.1493
ABERDEEN,,ABERDEEN,TX,HENDERSON,,,Henderson,1859,1866,TRUE,7,123848,FALSE,7,FALSE,,,,,,,,,,,,,
ABERDEEN,,ABERDEEN,TX,SMITH,,,Smith,1858,1871,TRUE,6,123849,FALSE,13,FALSE,,,,,,,,,,,,,
ABERFOYLE,,ABERFOYLE,TX,HUNT,,,Hunt,1884,1904,TRUE,5,123855,TRUE,20,TRUE,ABERFOYLE,HUNT,TX,1350850,Populated Place,Aberfoyle,Hunt,33.30511,-96.02525,184,1,33.30511,-96.02525
ABERNATHY,,ABERNATHY,TX,HALE,,,Hale,1910,,TRUE,0,123856,TRUE,,TRUE,ABERNATHY,HALE,TX,2731477,Post Office,Abernathy Post Office,Hale,33.83157,-101.8437,1024,1,33.83157,-101.8437
ABILENE,,ABILENE,TX,TAYLOR,,,Taylor,1881,,TRUE,0,123862,TRUE,,TRUE,ABILENE,TAYLOR,TX,2731349,Post Office,Abilene Post Office,Taylor,32.45203,-99.73231,522,1,32.45203,-99.73231
ABLES,,ABLES,TX,HUDSPETH,,,Hudspeth,1909,1941,TRUE,2,123865,FALSE,32,FALSE,,,,,,,,,,,,,
ABNER,,ABNER,TX,KAUFMAN,,,Kaufman,1885,1903,TRUE,5,123867,TRUE,18,TRUE,ABNER,KAUFMAN,TX,1384213,Populated Place,Abner,Kaufman,32.62791,-96.19164,163,1,32.62791,-96.19164
ABNER,,ABNER,TX,RUSK,,,Rusk,1884,1884,TRUE,7,123868,FALSE,0,FALSE,,,,,,,,,,,,,
ABNEY'S FARM,ABNEYS FARM,ABNEY'S FARM,TX,DENTON,,,Denton,1877,1883,TRUE,7,123869,FALSE,6,FALSE,,,,,,,,,,,,,
ABRA,,ABRA,TX,COLLINGSWORTH,,,Collingsworth,1908,1917,TRUE,4,123873,FALSE,9,FALSE,,,,,,,,,,,,,
ABRAM,,ABRAM,TX,HIDALGO,,,Hidalgo,1901,1941,TRUE,2,123876,TRUE,40,TRUE,ABRAM,HIDALGO,TX,1329182,Populated Place,Abram,Hidalgo,26.1998,-98.41113,36,1,26.1998,-98.41113
ACALA,,ACALA,TX,HUDSPETH,,,Hudspeth,1925,1972,TRUE,1,123886,TRUE,47,TRUE,ACALA,HUDSPETH,TX,1379310,Populated Place,Acala,Hudspeth,31.33401,-105.9144,1083,1,31.33401,-105.9144
ACE,,ACE,TX,POLK,,,Polk,1915,,TRUE,0,123888,TRUE,,TRUE,ACE,POLK,TX,2731859,Post Office,Ace Post Office,Polk,30.53541,-94.82344,52,1,30.53541,-94.82344
ACKERLY,,ACKERLY,TX,DAWSON,,,Dawson,1924,,TRUE,0,123896,TRUE,,TRUE,ACKERLY,DAWSON,TX,2731290,Post Office,Ackerly Post Office,Dawson,32.52591,-101.7159,853,1,32.52591,-101.7159
ACME,,ACME,TX,HARDEMAN,,,Hardeman,1898,1958,TRUE,1,123907,TRUE,60,TRUE,ACME,HARDEMAN,TX,1379312,Populated Place,Acme (historical),Hardeman,34.31674,-99.82399,463,1,34.31674,-99.82399
ACME,,ACME,TX,HENDERSON,,,Henderson,1896,1896,TRUE,5,123908,FALSE,0,FALSE,,,,,,,,,,,,,
ACME,,ACME,TX,HUDSPETH,,,Hudspeth,1884,1886,TRUE,7,123909,FALSE,2,FALSE,,,,,,,,,,,,,
ACME,,ACME,TX,VAN ZANDT,,,Van Zandt,1891,1898,TRUE,5,123910,TRUE,7,TRUE,ACME,VAN ZANDT,TX,2034766,Populated Place,Acme,Van Zandt,32.35931,-95.7258,140,1,32.35931,-95.7258
ACOL,,ACOL,TX,ANGELINA,,,Angelina,1938,1938,TRUE,3,123916,FALSE,0,FALSE,,,,,,,,,,,,,
ACOL,,ACOL,TX,POLK,,,Polk,1938,1942,TRUE,3,123917,FALSE,4,FALSE,,,,,,,,,,,,,
ACOL,,ACOL,TX,TYLER,,,Tyler,1934,1938,TRUE,3,123918,FALSE,4,FALSE,,,,,,,,,,,,,
ACOMB,,ACOMB,TX,MCLENNAN,,,McLennan,1870,1880,TRUE,7,123920,FALSE,10,FALSE,,,,,,,,,,,,,
ACONA,,ACONA,TX,GUADALUPE,,,Guadalupe,1895,1903,TRUE,5,123922,FALSE,8,FALSE,,,,,,,,,,,,,
ACORN,,ACORN,TX,ROBERTSON,,,Robertson,1881,1890,TRUE,6,123924,TRUE,9,TRUE,ACORN,ROBERTSON,TX,1356768,Populated Place,Acorn,Robertson,31.10546,-96.38413,118,1,31.10546,-96.38413
ACREY,,ACREY,TX,ERATH,,,Erath,1890,1894,TRUE,7,123929,TRUE,4,TRUE,ACREA,ERATH,TX,1329191,Cemetery,Acrea Cemetery,Erath,32.32097,-98.11032,322,0.8,32.32097,-98.11032
ACTON,,ACTON,TX,HOOD,,,Hood,1861,1906,TRUE,5,123933,TRUE,45,TRUE,ACTON,HOOD,TX,2793386,Post Office,Acton Post Office,Hood,32.44536,-97.69137,237,1,32.44536,-97.69137
ACUFF,,ACUFF,TX,LUBBOCK,,,Lubbock,1903,1912,TRUE,4,123937,TRUE,9,TRUE,ACUFF,LUBBOCK,TX,1379313,Populated Place,Acuff,Lubbock,33.59509,-101.6202,957,1,33.59509,-101.6202
ACWORTH,,ACWORTH,TX,RED RIVER,,,Red River,1902,1954,TRUE,1,123939,TRUE,52,TRUE,ACWORTH,RED RIVER,TX,1379314,Populated Place,Acworth,Red River,33.77428,-94.94967,120,1,33.77428,-94.94967
AD HALL,,AD HALL,TX,MILAM,,,Milam,1874,1912,TRUE,4,123940,TRUE,38,TRUE,AD HALL,MILAM,TX,1384047,Locale,Ad Hall (historical),Milam,30.84741,-97.09388,151,1,30.84741,-97.09388
ADA,,ADA,TX,CAMP,,,Camp,1901,1901,TRUE,7,123945,FALSE,0,FALSE,,,,,,,,,,,,,
ADA,,ADA,TX,LAMPASAS,,,Lampasas,1878,1886,TRUE,6,123946,FALSE,8,FALSE,,,,,,,,,,,,,
ADA,,ADA,TX,MONTGOMERY,,,Montgomery,1893,1899,TRUE,6,123947,TRUE,6,TRUE,ADA,MONTGOMERY,TX,1383397,Populated Place,Ada,Montgomery,30.4877,-95.49022,104,1,30.4877,-95.49022
ADA,,ADA,TX,UPSHUR,,,Upshur,1902,1904,TRUE,6,123948,FALSE,2,FALSE,,,,,,,,,,,,,
